Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units
NSRDB,123456,-,-,-,0,0.11,-5,19,-5,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2015,1,5,6,30,0,0,0,4,-2,99.4,0.070100002,2.8,0.548,108.6,80.76,0,1010
2015,1,5,7,0,0,0,0,0,-3,94.22,0.070100002,2.8,0.541,109,74.75,0,1010
2015,1,5,7,30,0,0,0,4,-3,89.24,0.070100002,2.9,0.54,109,74.79,0,1010
2015,1,5,8,0,34,352,68,4,-4,84.52,0.070100002,3,0.54,109.3,72.34,0,1010
2015,1,5,8,30,51,528,142,0,-4,80.11,0.070100002,3.2,0.526,109.3,72.36,0,1010
2015,1,5,9,0,65,626,216,4,-5,76.07,0.070100002,3.5,0.513,109.7,61.32,1,1010
2015,1,5,9,30,103,370,214,4,-5,72.45,0.070100002,3.7,0.483,109.7,61.33,1,1010
2015,1,5,10,0,75,777,349,0,-6,69.35,0.070100002,3.9,0.454,109.7,56.08,1,1010
2015,1,5,10,30,79,814,400,1,-6,66.82,0.070100002,4,0.42,109.7,60.28,0,1010
2015,1,5,11,0,78,855,440,0,-7,64.94,0.070100002,4.1,0.387,109.6,56.18,0,1010
2015,1,5,11,30,79,870,464,4,-7,63.77,0.070100002,4.1,0.355,109.6,56.18,0,1010
2015,1,5,12,0,134,558,384,4,-8,63.36,0.070100002,4.2,0.323,111.1,52.43,0,1010
2015,1,5,12,30,128,567,379,4,-8,63.7,0.070100002,4.1,0.306,111.1,52.45,0,1010
2015,1,5,13,0,72,888,450,0,-9,64.8,0.070100002,4.1,0.289,114,50.03,0,1010
2015,1,5,13,30,69,869,414,0,-9,66.62,0.070100002,4,0.285,114,50.05,0,1010
2015,1,5,14,0,64,847,366,0,-9,69.09,0.070100002,4,0.281,118,48.68,0,1020
2015,1,5,14,30,59,803,305,0,-9,72.14,0.070100002,3.8,0.277,118,48.71,0,1020
2015,1,5,15,0,51,749,236,0,-9,75.71,0.070100002,3.6,0.274,121.2,51.34,-1,1020
2015,1,5,15,30,42,652,159,0,-9,79.72,0.070100002,3.2,0.268,121.2,51.37,-1,1020
2015,1,5,16,0,29,510,81,0,-9,84.1,0.070100002,2.8,0.262,125.8,55.28,-2,1020
2015,1,5,16,30,11,213,15,0,-9,88.8,0.070100002,2.7,0.256,125.8,55.31,-2,1020
2015,1,5,17,0,0,0,0,0,-9,93.75,0.070100002,2.6,0.251,123.9,59,-3,1020
2015,1,5,17,30,0,0,0,0,-9,98.92,0.070100002,2.7,0.244,123.9,59.03,-3,1020
2015,1,5,18,0,0,0,0,0,-10,104.25,0.070100002,2.9,0.238,126.9,56.5,-3,1020
2015,1,5,18,30,0,0,0,0,-10,109.72,0.070100002,2.9,0.232,126.9,56.52,-3,1020
2015,1,5,19,0,0,0,0,0,-11,115.29,0.866900027,2.9,0.227,131.5,57.53,-4,1020
2015,1,5,19,30,0,0,0,0,-11,120.93,0.866900027,2.7,0.227,131.5,57.53,-4,1020
